SITES	site0	site1
2260000	RELEASED	site0	164
2260000	REJECTED	site0	164
2260000	RELEASED	site0	165
2260000	REJECTED	site0	165
2261000	RELEASED	site0	166
2261000	REJECTED	site0	166
2261000	RELEASED	site0	167
2261000	REJECTED	site0	167
2261000	RELEASED	site0	168
2261000	REJECTED	site0	168
2261000	RELEASED	site0	169
2261000	REJECTED	site0	169
2261000	RELEASED	site0	170
2261000	REJECTED	site0	170
2261000	RELEASED	site0	171
2261000	REJECTED	site0	171
2262000	RELEASED	site0	172
2262000	REJECTED	site0	172
2262000	RELEASED	site0	173
2262000	REJECTED	site0	173
2262000	RELEASED	site0	174
2262000	REJECTED	site0	174
2262000	RELEASED	site0	175
2262000	REJECTED	site0	175
2262000	RELEASED	site0	176
2262000	REJECTED	site0	176
2262000	RELEASED	site0	177
2262000	REJECTED	site0	177
2262000	RELEASED	site0	178
2262000	REJECTED	site0	178
2262000	RELEASED	site0	179
2262000	REJECTED	site0	179
2263000	RELEASED	site0	180
2263000	REJECTED	site0	180
2263000	RELEASED	site0	181
2263000	REJECTED	site0	181
2263000	RELEASED	site0	182
2263000	REJECTED	site0	182
2263000	RELEASED	site0	183
2263000	REJECTED	site0	183
2263000	RELEASED	site0	184
2263000	REJECTED	site0	184
2263000	RELEASED	site0	185
2263000	REJECTED	site0	185
2263000	RELEASED	site0	186
2263000	REJECTED	site0	186
2263000	RELEASED	site0	187
2263000	REJECTED	site0	187
2263000	RELEASED	site0	188
2263000	REJECTED	site0	188
2264000	RELEASED	site0	189
2264000	REJECTED	site0	189
2264000	RELEASED	site0	190
2264000	REJECTED	site0	190
2264000	RELEASED	site0	191
2264000	REJECTED	site0	191
2264000	RELEASED	site0	192
2264000	REJECTED	site0	192
2264000	RELEASED	site0	193
2264000	REJECTED	site0	193
2264000	RELEASED	site0	194
2264000	REJECTED	site0	194
2264000	RELEASED	site0	195
2264000	REJECTED	site0	195
2264000	RELEASED	site0	196
2264000	REJECTED	site0	196
2264000	RELEASED	site0	197
2264000	REJECTED	site0	197
2265000	RELEASED	site0	198
2265000	REJECTED	site0	198
2265000	RELEASED	site0	199
2265000	REJECTED	site0	199
2265000	RELEASED	site0	200
2265000	REJECTED	site0	200
2265000	RELEASED	site0	201
2265000	REJECTED	site0	201
2265000	RELEASED	site0	202
2265000	REJECTED	site0	202
2265000	RELEASED	site0	203
2265000	REJECTED	site0	203
2265000	RELEASED	site0	204
2265000	REJECTED	site0	204
2265000	RELEASED	site0	205
2265000	REJECTED	site0	205
2266000	RELEASED	site0	206
2266000	REJECTED	site0	206
2266000	RELEASED	site0	207
2266000	REJECTED	site0	207
2266000	RELEASED	site0	208
2266000	REJECTED	site0	208
2266000	RELEASED	site0	209
2266000	REJECTED	site0	209
