SITES	site0	site1
13806000	REJECTED	site0	766
13810000	RELEASED	site0	767
13810000	REJECTED	site0	767
13812000	RELEASED	site0	768
13812000	REJECTED	site0	768
13815000	RELEASED	site0	769
13815000	REJECTED	site0	769
13822000	RELEASED	site0	770
13822000	REJECTED	site0	770
13829000	RELEASED	site0	771
13829000	ACCEPTED	site1	771
13829000	STARTED	site1	605
13836000	RELEASED	site0	772
13836000	REJECTED	site0	772
13843000	COMPLETED	site1	605
13843000	STARTED	site1	771
13843000	RELEASED	site0	773
13843000	REJECTED	site0	773
13845000	RELEASED	site0	774
13845000	ACCEPTED	site1	774
13845000	STARTED	site1	771
13848000	RELEASED	site0	775
13848000	REJECTED	site0	775
13849000	COMPLETED	site1	771
13849000	STARTED	site1	760
13849000	RELEASED	site0	776
13849000	REJECTED	site0	776
13872000	COMPLETED	site1	760
13872000	STARTED	site1	750
13905000	COMPLETED	site1	750
13905000	STARTED	site1	762
13920000	COMPLETED	site1	762
13920000	STARTED	site1	735
13930000	COMPLETED	site1	735
13930000	STARTED	site1	774
13941000	COMPLETED	site1	774
13941000	STARTED	site1	618
13942000	COMPLETED	site1	618
13942000	STARTED	site1	452
13965000	RELEASED	site0	777
13965000	ACCEPTED	site1	777
13965000	STARTED	site1	777
13969000	RELEASED	site0	778
13969000	ACCEPTED	site1	778
13969000	STARTED	site1	778
13974000	RELEASED	site0	779
13974000	ACCEPTED	site1	779
13974000	STARTED	site1	779
13981000	RELEASED	site0	780
13981000	REJECTED	site0	780
13982000	RELEASED	site0	781
13982000	ACCEPTED	site1	781
13982000	STARTED	site1	779
13983000	RELEASED	site0	782
13983000	REJECTED	site0	782
13998000	COMPLETED	site1	779
13998000	STARTED	site1	778
14003000	RELEASED	site0	783
14003000	ACCEPTED	site1	783
14003000	STARTED	site1	778
14009000	RELEASED	site0	784
14009000	ACCEPTED	site1	784
14009000	STARTED	site1	778
14014000	COMPLETED	site1	778
14014000	STARTED	site1	784
14021000	RELEASED	site0	785
14021000	ACCEPTED	site1	785
14021000	STARTED	site1	784
14033000	RELEASED	site0	786
14033000	REJECTED	site0	786
14067000	COMPLETED	site1	784
14067000	STARTED	site1	777
14091000	COMPLETED	site1	777
14091000	STARTED	site1	783
14092000	RELEASED	site0	787
14092000	REJECTED	site0	787
14094000	RELEASED	site0	788
14094000	ACCEPTED	site1	788
14094000	STARTED	site1	783
14098000	RELEASED	site0	789
14098000	REJECTED	site0	789
14105000	RELEASED	site0	790
14105000	ACCEPTED	site1	790
14105000	STARTED	site1	783
14110000	RELEASED	site0	791
14110000	REJECTED	site0	791
14113000	COMPLETED	site1	783
14113000	STARTED	site1	785
14115000	RELEASED	site0	792
14115000	REJECTED	site0	792
14118000	RELEASED	site0	793
14118000	REJECTED	site0	793
14120000	RELEASED	site0	794
14120000	ACCEPTED	site1	794
14120000	STARTED	site1	785
14126000	RELEASED	site0	795
14126000	REJECTED	site0	795
14132000	RELEASED	site0	796
14132000	REJECTED	site0	796
14137000	COMPLETED	site1	785
14137000	STARTED	site1	788
14137000	RELEASED	site0	797
14137000	REJECTED	site0	797
14143000	RELEASED	site0	798
14143000	REJECTED	site0	798
14156000	RELEASED	site0	799
14156000	REJECTED	site0	799
14158000	COMPLETED	site1	788
14158000	STARTED	site1	781
14178000	RELEASED	site0	800
14178000	ACCEPTED	site1	800
14178000	STARTED	site1	781
14179000	COMPLETED	site1	781
14179000	STARTED	site1	794
14183000	RELEASED	site0	801
14183000	ACCEPTED	site1	801
14183000	STARTED	site1	794
14188000	COMPLETED	site1	794
14188000	STARTED	site1	801
14204000	RELEASED	site0	802
14204000	REJECTED	site0	802
14211000	COMPLETED	site1	801
14211000	STARTED	site1	800
14222000	COMPLETED	site1	800
14222000	STARTED	site1	790
14230000	RELEASED	site0	803
14230000	ACCEPTED	site1	803
14230000	STARTED	site1	790
14231000	COMPLETED	site1	790
14231000	STARTED	site1	452
14271000	RELEASED	site0	804
14271000	REJECTED	site0	804
14272000	RELEASED	site0	805
14272000	ACCEPTED	site1	805
14272000	STARTED	site1	805
14276000	RELEASED	site0	806
14276000	ACCEPTED	site1	806
14276000	STARTED	site1	805
14280000	RELEASED	site0	807
14280000	REJECTED	site0	807
14285000	COMPLETED	site1	805
14285000	STARTED	site1	806
14285000	RELEASED	site0	808
14285000	ACCEPTED	site1	808
14285000	STARTED	site1	806
14290000	COMPLETED	site1	806
14290000	STARTED	site1	808
14290000	RELEASED	site0	809
14290000	ACCEPTED	site1	809
14290000	STARTED	site1	808
14300000	RELEASED	site0	810
14300000	ACCEPTED	site1	810
14300000	STARTED	site1	810
14300000	RELEASED	site0	811
14300000	REJECTED	site0	811
14302000	COMPLETED	site1	810
14302000	STARTED	site1	808
14305000	RELEASED	site0	812
14305000	ACCEPTED	site1	812
14305000	STARTED	site1	808
14309000	RELEASED	site0	813
14309000	ACCEPTED	site1	813
14309000	STARTED	site1	808
14311000	RELEASED	site0	814
14311000	REJECTED	site0	814
14314000	RELEASED	site0	815
14314000	ACCEPTED	site1	815
14314000	STARTED	site1	808
14319000	RELEASED	site0	816
14319000	REJECTED	site0	816
14322000	COMPLETED	site1	808
14322000	STARTED	site1	813
14325000	RELEASED	site0	817
14325000	REJECTED	site0	817
14325000	RELEASED	site0	818
14325000	REJECTED	site0	818
14331000	RELEASED	site0	819
14331000	ACCEPTED	site1	819
14331000	STARTED	site1	813
14335000	RELEASED	site0	820
14335000	REJECTED	site0	820
14340000	RELEASED	site0	821
14340000	REJECTED	site0	821
14346000	RELEASED	site0	822
14346000	REJECTED	site0	822
14351000	COMPLETED	site1	813
14351000	STARTED	site1	809
14352000	RELEASED	site0	823
14352000	REJECTED	site0	823
14353000	RELEASED	site0	824
14353000	ACCEPTED	site1	824
14353000	STARTED	site1	809
14355000	COMPLETED	site1	809
14355000	STARTED	site1	815
14355000	RELEASED	site0	825
14355000	REJECTED	site0	825
14363000	RELEASED	site0	826
14363000	ACCEPTED	site1	826
14363000	STARTED	site1	815
14371000	RELEASED	site0	827
14371000	REJECTED	site0	827
14376000	RELEASED	site0	828
14376000	ACCEPTED	site1	828
14376000	STARTED	site1	815
14377000	COMPLETED	site1	815
14377000	STARTED	site1	812
14379000	RELEASED	site0	829
14379000	ACCEPTED	site1	829
14379000	STARTED	site1	812
14382000	RELEASED	site0	830
14382000	ACCEPTED	site1	830
14382000	STARTED	site1	812
14389000	RELEASED	site0	831
14389000	ACCEPTED	site1	831
14389000	STARTED	site1	812
14394000	RELEASED	site0	832
14394000	REJECTED	site0	832
14396000	COMPLETED	site1	812
14396000	STARTED	site1	831
14399000	COMPLETED	site1	831
14399000	STARTED	site1	824
14400000	RELEASED	site0	833
14400000	REJECTED	site0	833
14408000	RELEASED	site0	834
14408000	REJECTED	site0	834
14410000	COMPLETED	site1	824
14410000	STARTED	site1	830
14410000	RELEASED	site0	835
14410000	ACCEPTED	site1	835
14410000	STARTED	site1	830
14417000	RELEASED	site0	836
14417000	ACCEPTED	site1	836
14417000	STARTED	site1	830
14419000	COMPLETED	site1	830
14419000	STARTED	site1	829
14423000	RELEASED	site0	837
14423000	REJECTED	site0	837
14426000	RELEASED	site0	838
14426000	ACCEPTED	site1	838
14426000	STARTED	site1	829
14430000	RELEASED	site0	839
14430000	REJECTED	site0	839
14434000	COMPLETED	site1	829
14434000	STARTED	site1	828
14435000	RELEASED	site0	840
14435000	REJECTED	site0	840
14438000	RELEASED	site0	841
14438000	ACCEPTED	site1	841
14438000	STARTED	site1	828
14441000	RELEASED	site0	842
14441000	ACCEPTED	site1	842
14441000	STARTED	site1	828
14447000	RELEASED	site0	843
14447000	REJECTED	site0	843
14447000	RELEASED	site0	844
14447000	REJECTED	site0	844
14453000	RELEASED	site0	845
14453000	REJECTED	site0	845
14454000	RELEASED	site0	846
14454000	ACCEPTED	site1	846
14454000	STARTED	site1	828
14454000	RELEASED	site0	847
14454000	REJECTED	site0	847
14457000	COMPLETED	site1	828
14457000	STARTED	site1	842
14464000	RELEASED	site0	848
14464000	REJECTED	site0	848
14465000	RELEASED	site0	849
14465000	REJECTED	site0	849
14468000	COMPLETED	site1	842
14468000	STARTED	site1	838
14469000	RELEASED	site0	850
14469000	REJECTED	site0	850
14474000	RELEASED	site0	851
14474000	ACCEPTED	site1	851
14474000	STARTED	site1	838
14475000	COMPLETED	site1	838
14475000	STARTED	site1	846
14476000	COMPLETED	site1	846
14476000	STARTED	site1	841
14486000	COMPLETED	site1	841
14486000	STARTED	site1	851
14486000	RELEASED	site0	852
14486000	REJECTED	site0	852
14490000	COMPLETED	site1	851
14490000	STARTED	site1	819
14493000	RELEASED	site0	853
14493000	REJECTED	site0	853
14496000	COMPLETED	site1	819
14496000	STARTED	site1	835
14499000	RELEASED	site0	854
14499000	REJECTED	site0	854
14505000	RELEASED	site0	855
14505000	REJECTED	site0	855
14511000	RELEASED	site0	856
14511000	ACCEPTED	site1	856
14511000	STARTED	site1	835
14512000	RELEASED	site0	857
14512000	REJECTED	site0	857
14521000	RELEASED	site0	858
14521000	ACCEPTED	site1	858
14521000	STARTED	site1	858
14523000	COMPLETED	site1	858
14523000	STARTED	site1	835
14524000	RELEASED	site0	859
14524000	REJECTED	site0	859
14528000	RELEASED	site0	860
14528000	ACCEPTED	site1	860
14528000	STARTED	site1	835
14532000	RELEASED	site0	861
14532000	REJECTED	site0	861
14533000	RELEASED	site0	862
14533000	REJECTED	site0	862
14549000	RELEASED	site0	863
14549000	REJECTED	site0	863
14559000	RELEASED	site0	864
14559000	REJECTED	site0	864
14560000	RELEASED	site0	865
14560000	ACCEPTED	site1	865
14560000	STARTED	site1	835
14563000	RELEASED	site0	866
14563000	ACCEPTED	site1	866
14563000	STARTED	site1	835
14566000	COMPLETED	site1	835
14566000	STARTED	site1	866
14567000	RELEASED	site0	867
14567000	REJECTED	site0	867
14572000	RELEASED	site0	868
14572000	ACCEPTED	site1	868
14572000	STARTED	site1	866
14573000	COMPLETED	site1	866
14573000	STARTED	site1	856
14576000	RELEASED	site0	869
14576000	REJECTED	site0	869
14579000	COMPLETED	site1	856
14579000	STARTED	site1	860
14585000	RELEASED	site0	870
14585000	ACCEPTED	site1	870
14585000	STARTED	site1	870
14591000	RELEASED	site0	871
14591000	REJECTED	site0	871
14592000	RELEASED	site0	872
14592000	ACCEPTED	site1	872
14592000	STARTED	site1	870
14594000	COMPLETED	site1	870
14594000	STARTED	site1	860
14596000	COMPLETED	site1	860
14596000	STARTED	site1	836
14597000	RELEASED	site0	873
14597000	REJECTED	site0	873
14607000	RELEASED	site0	874
14607000	ACCEPTED	site1	874
14607000	STARTED	site1	836
14608000	COMPLETED	site1	836
14608000	STARTED	site1	872
14609000	RELEASED	site0	875
14609000	REJECTED	site0	875
14616000	COMPLETED	site1	872
14616000	STARTED	site1	874
14620000	COMPLETED	site1	874
14620000	STARTED	site1	868
14624000	COMPLETED	site1	868
14624000	STARTED	site1	865
14624000	RELEASED	site0	876
14624000	ACCEPTED	site1	876
14624000	STARTED	site1	876
14626000	RELEASED	site0	877
14626000	ACCEPTED	site1	877
14626000	STARTED	site1	876
14632000	RELEASED	site0	878
14632000	ACCEPTED	site1	878
14632000	STARTED	site1	878
14637000	RELEASED	site0	879
14637000	ACCEPTED	site1	879
14637000	STARTED	site1	878
14638000	COMPLETED	site1	878
14638000	STARTED	site1	879
14640000	COMPLETED	site1	879
14640000	STARTED	site1	876
14644000	RELEASED	site0	880
14644000	REJECTED	site0	880
14646000	RELEASED	site0	881
14646000	ACCEPTED	site1	881
14646000	STARTED	site1	876
14650000	COMPLETED	site1	876
14650000	STARTED	site1	865
14653000	RELEASED	site0	882
14653000	REJECTED	site0	882
14657000	COMPLETED	site1	865
14657000	STARTED	site1	826
14657000	RELEASED	site0	883
14657000	ACCEPTED	site1	883
14657000	STARTED	site1	826
14658000	RELEASED	site0	884
14658000	ACCEPTED	site1	884
14658000	STARTED	site1	826
14663000	COMPLETED	site1	826
14663000	STARTED	site1	877
14664000	RELEASED	site0	885
14664000	REJECTED	site0	885
14666000	RELEASED	site0	886
14666000	REJECTED	site0	886
14669000	RELEASED	site0	887
14669000	ACCEPTED	site1	887
14669000	STARTED	site1	877
14670000	COMPLETED	site1	877
14670000	STARTED	site1	881
14672000	RELEASED	site0	888
14672000	REJECTED	site0	888
14676000	RELEASED	site0	889
14676000	ACCEPTED	site1	889
14676000	STARTED	site1	881
14688000	RELEASED	site0	890
14688000	REJECTED	site0	890
14689000	RELEASED	site0	891
14689000	REJECTED	site0	891
14692000	COMPLETED	site1	881
14692000	STARTED	site1	884
14694000	RELEASED	site0	892
14694000	REJECTED	site0	892
14698000	COMPLETED	site1	884
14698000	STARTED	site1	887
14704000	RELEASED	site0	893
14704000	ACCEPTED	site1	893
14704000	STARTED	site1	893
14704000	RELEASED	site0	894
14704000	REJECTED	site0	894
14706000	COMPLETED	site1	893
14706000	STARTED	site1	887
14709000	RELEASED	site0	895
14709000	REJECTED	site0	895
14711000	COMPLETED	site1	887
14711000	STARTED	site1	889
14720000	RELEASED	site0	896
14720000	ACCEPTED	site1	896
14720000	STARTED	site1	889
14731000	COMPLETED	site1	889
14731000	STARTED	site1	896
14732000	RELEASED	site0	897
14732000	REJECTED	site0	897
14735000	COMPLETED	site1	896
14735000	STARTED	site1	883
14741000	RELEASED	site0	898
14741000	ACCEPTED	site1	898
14741000	STARTED	site1	898
14741000	RELEASED	site0	899
14741000	REJECTED	site0	899
14751000	RELEASED	site0	900
14751000	ACCEPTED	site1	900
14751000	STARTED	site1	898
14753000	COMPLETED	site1	898
14753000	STARTED	site1	883
14756000	RELEASED	site0	901
14756000	ACCEPTED	site1	901
14756000	STARTED	site1	901
14757000	COMPLETED	site1	901
14757000	STARTED	site1	883
14761000	RELEASED	site0	902
14761000	REJECTED	site0	902
14765000	RELEASED	site0	903
14765000	ACCEPTED	site1	903
14765000	STARTED	site1	883
14769000	COMPLETED	site1	883
14769000	STARTED	site1	900
14770000	RELEASED	site0	904
14770000	REJECTED	site0	904
14772000	COMPLETED	site1	900
14772000	STARTED	site1	903
14778000	RELEASED	site0	905
14778000	ACCEPTED	site1	905
14778000	STARTED	site1	903
14782000	COMPLETED	site1	903
14782000	STARTED	site1	905
14782000	RELEASED	site0	906
14782000	ACCEPTED	site1	906
14782000	STARTED	site1	906
14785000	RELEASED	site0	907
14785000	ACCEPTED	site1	907
14785000	STARTED	site1	906
14791000	RELEASED	site0	908
14791000	ACCEPTED	site1	908
14791000	STARTED	site1	906
14793000	RELEASED	site0	909
14793000	REJECTED	site0	909
14794000	COMPLETED	site1	906
14794000	STARTED	site1	907
14794000	RELEASED	site0	910
14794000	REJECTED	site0	910
14795000	RELEASED	site0	911
14795000	ACCEPTED	site1	911
14795000	STARTED	site1	907
14801000	RELEASED	site0	912
14801000	REJECTED	site0	912
14801000	RELEASED	site0	913
14801000	ACCEPTED	site1	913
14801000	STARTED	site1	907
14801000	RELEASED	site0	914
14801000	ACCEPTED	site1	914
14801000	STARTED	site1	907
14801000	RELEASED	site0	915
14801000	ACCEPTED	site1	915
14801000	STARTED	site1	907
14802000	RELEASED	site0	916
14802000	REJECTED	site0	916
14804000	RELEASED	site0	917
14804000	REJECTED	site0	917
14808000	RELEASED	site0	918
14808000	ACCEPTED	site1	918
14808000	STARTED	site1	907
14815000	COMPLETED	site1	907
14815000	STARTED	site1	908
14817000	RELEASED	site0	919
14817000	ACCEPTED	site1	919
14817000	STARTED	site1	919
14825000	COMPLETED	site1	919
14825000	STARTED	site1	908
14826000	COMPLETED	site1	908
14826000	STARTED	site1	905
14830000	RELEASED	site0	920
14830000	ACCEPTED	site1	920
14830000	STARTED	site1	920
14830000	RELEASED	site0	921
14830000	REJECTED	site0	921
14831000	RELEASED	site0	922
14831000	REJECTED	site0	922
14833000	COMPLETED	site1	920
14833000	STARTED	site1	905
14836000	RELEASED	site0	923
14836000	ACCEPTED	site1	923
14836000	STARTED	site1	905
14840000	COMPLETED	site1	905
14840000	STARTED	site1	913
14844000	RELEASED	site0	924
14844000	ACCEPTED	site1	924
14844000	STARTED	site1	924
14844000	RELEASED	site0	925
14844000	REJECTED	site0	925
14848000	RELEASED	site0	926
14848000	ACCEPTED	site1	926
14848000	STARTED	site1	924
14855000	RELEASED	site0	927
14855000	REJECTED	site0	927
14858000	RELEASED	site0	928
14858000	ACCEPTED	site1	928
14858000	STARTED	site1	924
14859000	RELEASED	site0	929
14859000	ACCEPTED	site1	929
14859000	STARTED	site1	924
14862000	COMPLETED	site1	924
14862000	STARTED	site1	929
14863000	COMPLETED	site1	929
14863000	STARTED	site1	928
14863000	RELEASED	site0	930
14863000	REJECTED	site0	930
14868000	COMPLETED	site1	928
14868000	STARTED	site1	913
14868000	RELEASED	site0	931
14868000	REJECTED	site0	931
14868000	RELEASED	site0	932
14868000	ACCEPTED	site1	932
14868000	STARTED	site1	932
14876000	RELEASED	site0	933
14876000	ACCEPTED	site1	933
14876000	STARTED	site1	933
14879000	RELEASED	site0	934
14879000	ACCEPTED	site1	934
14879000	STARTED	site1	933
14885000	RELEASED	site0	935
14885000	ACCEPTED	site1	935
14885000	STARTED	site1	933
14892000	RELEASED	site0	936
14892000	ACCEPTED	site1	936
14892000	STARTED	site1	933
14893000	RELEASED	site0	937
14893000	REJECTED	site0	937
14898000	COMPLETED	site1	933
14898000	STARTED	site1	935
14899000	RELEASED	site0	938
14899000	ACCEPTED	site1	938
14899000	STARTED	site1	935
14904000	RELEASED	site0	939
14904000	REJECTED	site0	939
14905000	RELEASED	site0	940
14905000	ACCEPTED	site1	940
14905000	STARTED	site1	935
14908000	RELEASED	site0	941
14908000	REJECTED	site0	941
14910000	RELEASED	site0	942
14910000	ACCEPTED	site1	942
14910000	STARTED	site1	935
14916000	COMPLETED	site1	935
14916000	STARTED	site1	936
14917000	RELEASED	site0	943
14917000	REJECTED	site0	943
14919000	RELEASED	site0	944
14919000	ACCEPTED	site1	944
14919000	STARTED	site1	936
14921000	COMPLETED	site1	936
14921000	STARTED	site1	938
14923000	COMPLETED	site1	938
14923000	STARTED	site1	934
14931000	RELEASED	site0	945
14931000	REJECTED	site0	945
14935000	RELEASED	site0	946
14935000	ACCEPTED	site1	946
14935000	STARTED	site1	934
14936000	RELEASED	site0	947
14936000	REJECTED	site0	947
14939000	RELEASED	site0	948
14939000	ACCEPTED	site1	948
14939000	STARTED	site1	934
14941000	COMPLETED	site1	934
14941000	STARTED	site1	942
14941000	RELEASED	site0	949
14941000	REJECTED	site0	949
14942000	COMPLETED	site1	942
14942000	STARTED	site1	944
14944000	COMPLETED	site1	944
14944000	STARTED	site1	946
14946000	RELEASED	site0	950
14946000	ACCEPTED	site1	950
14946000	STARTED	site1	946
14951000	RELEASED	site0	951
14951000	ACCEPTED	site1	951
14951000	STARTED	site1	951
14952000	RELEASED	site0	952
14952000	REJECTED	site0	952
14954000	COMPLETED	site1	951
14954000	STARTED	site1	946
14963000	RELEASED	site0	953
14963000	ACCEPTED	site1	953
14963000	STARTED	site1	946
14965000	RELEASED	site0	954
14965000	REJECTED	site0	954
14973000	RELEASED	site0	955
14973000	ACCEPTED	site1	955
14973000	STARTED	site1	955
14974000	COMPLETED	site1	955
14974000	STARTED	site1	946
14977000	RELEASED	site0	956
14977000	REJECTED	site0	956
14979000	COMPLETED	site1	946
14979000	STARTED	site1	950
14980000	RELEASED	site0	957
14980000	REJECTED	site0	957
14982000	COMPLETED	site1	950
14982000	STARTED	site1	932
14983000	RELEASED	site0	958
14983000	ACCEPTED	site1	958
14983000	STARTED	site1	932
14988000	COMPLETED	site1	932
14988000	STARTED	site1	958
14988000	RELEASED	site0	959
14988000	ACCEPTED	site1	959
14988000	STARTED	site1	959
14993000	COMPLETED	site1	959
14993000	STARTED	site1	958
14994000	RELEASED	site0	960
14994000	ACCEPTED	site1	960
14994000	STARTED	site1	960
14997000	RELEASED	site0	961
14997000	REJECTED	site0	961
15000000	RELEASED	site0	962
15000000	ACCEPTED	site1	962
15000000	STARTED	site1	960
15001000	COMPLETED	site1	960
15001000	STARTED	site1	962
15004000	COMPLETED	site1	962
15004000	STARTED	site1	958
15004000	RELEASED	site0	963
15004000	ACCEPTED	site1	963
15004000	STARTED	site1	963
15005000	COMPLETED	site1	963
15005000	STARTED	site1	958
15008000	RELEASED	site0	964
15008000	REJECTED	site0	964
15010000	RELEASED	site0	965
15010000	ACCEPTED	site1	965
15010000	STARTED	site1	965
15019000	COMPLETED	site1	965
15019000	STARTED	site1	958
15021000	RELEASED	site0	966
15021000	REJECTED	site0	966
15033000	RELEASED	site0	967
15033000	ACCEPTED	site1	967
15033000	STARTED	site1	967
15035000	COMPLETED	site1	967
15035000	STARTED	site1	958
15036000	COMPLETED	site1	958
15036000	STARTED	site1	953
15037000	COMPLETED	site1	953
15037000	STARTED	site1	913
15039000	RELEASED	site0	968
15039000	REJECTED	site0	968
15051000	RELEASED	site0	969
15051000	REJECTED	site0	969
15055000	RELEASED	site0	970
15055000	ACCEPTED	site1	970
15055000	STARTED	site1	970
15086000	COMPLETED	site1	970
15086000	STARTED	site1	913
15111000	RELEASED	site0	971
15111000	ACCEPTED	site1	971
15111000	STARTED	site1	971
15126000	RELEASED	site0	972
15126000	REJECTED	site0	972
15135000	COMPLETED	site1	971
15135000	STARTED	site1	913
15149000	RELEASED	site0	973
15149000	ACCEPTED	site1	973
15149000	STARTED	site1	913
15149000	RELEASED	site0	974
15149000	REJECTED	site0	974
15151000	RELEASED	site0	975
15151000	ACCEPTED	site1	975
15151000	STARTED	site1	913
15162000	RELEASED	site0	976
15162000	ACCEPTED	site1	976
15162000	STARTED	site1	976
15164000	RELEASED	site0	977
15164000	REJECTED	site0	977
15170000	RELEASED	site0	978
15170000	REJECTED	site0	978
15175000	RELEASED	site0	979
15175000	REJECTED	site0	979
15181000	RELEASED	site0	980
15181000	REJECTED	site0	980
15186000	RELEASED	site0	981
15186000	REJECTED	site0	981
15194000	COMPLETED	site1	976
15194000	STARTED	site1	913
15208000	RELEASED	site0	982
15208000	REJECTED	site0	982
15211000	RELEASED	site0	983
15211000	REJECTED	site0	983
15217000	RELEASED	site0	984
15217000	REJECTED	site0	984
15225000	RELEASED	site0	985
15225000	ACCEPTED	site1	985
15225000	STARTED	site1	913
15239000	RELEASED	site0	986
15239000	REJECTED	site0	986
15245000	RELEASED	site0	987
15245000	REJECTED	site0	987
15252000	RELEASED	site0	988
15252000	REJECTED	site0	988
15276000	RELEASED	site0	989
15276000	REJECTED	site0	989
15286000	RELEASED	site0	990
15286000	REJECTED	site0	990
15304000	RELEASED	site0	991
15304000	REJECTED	site0	991
15337000	RELEASED	site0	992
15337000	REJECTED	site0	992
15346000	RELEASED	site0	993
15346000	ACCEPTED	site1	993
15346000	STARTED	site1	913
15352000	RELEASED	site0	994
15352000	REJECTED	site0	994
15357000	RELEASED	site0	995
15357000	REJECTED	site0	995
15363000	RELEASED	site0	996
15363000	REJECTED	site0	996
15364000	RELEASED	site0	997
15364000	REJECTED	site0	997
15365000	RELEASED	site0	998
15365000	ACCEPTED	site1	998
15365000	STARTED	site1	913
15372000	RELEASED	site0	999
15372000	REJECTED	site0	999
15376000	RELEASED	site0	1000
15376000	REJECTED	site0	1000
15503000	COMPLETED	site1	913
15503000	STARTED	site1	923
15512000	COMPLETED	site1	923
15512000	STARTED	site1	940
15514000	COMPLETED	site1	940
15514000	STARTED	site1	911
15520000	COMPLETED	site1	911
15520000	STARTED	site1	918
15530000	COMPLETED	site1	918
15530000	STARTED	site1	926
15532000	COMPLETED	site1	926
15532000	STARTED	site1	914
15930000	COMPLETED	site1	914
15930000	STARTED	site1	915
15936000	COMPLETED	site1	915
15936000	STARTED	site1	948
15937000	COMPLETED	site1	948
15937000	STARTED	site1	973
15970000	COMPLETED	site1	973
15970000	STARTED	site1	975
15995000	COMPLETED	site1	975
15995000	STARTED	site1	993
16048000	COMPLETED	site1	993
16048000	STARTED	site1	985
16070000	COMPLETED	site1	985
16070000	STARTED	site1	452
16305000	COMPLETED	site1	452
16305000	STARTED	site1	998
16350000	COMPLETED	site1	998
16350000	STARTED	site1	443
16544000	COMPLETED	site1	443
16544000	STARTED	site1	561
16576000	COMPLETED	site1	561
16576000	STARTED	site1	803
16587000	COMPLETED	site1	803
