 job_id  Cmax  Mean_waiting_time  Mean_bounded_slowndown  Mean_number_of_interruptions_per_job  Percentage_of_rejections  Competitive_factor  Utilization 
 71 2392 40.20833333333333 1.0708225403869331 0.3333333333333333 88.73239436619718 0.5049913194444444 0.5049913194444444
 4 2468 76.0 1.1077768728140092 0.52 88.31775700934578 0.686344537815126 0.686344537815126
 143 2551 78.3076923076923 1.1365295281653816 0.5 87.90697674418605 0.6954933008526187 0.6954933008526187
 223 2773 75.4074074074074 1.131472878974071 0.48148148148148145 87.5 0.6525139664804469 0.6525139664804469
 224 2944 72.71428571428571 1.1267774190107112 0.46428571428571425 87.09677419354838 0.6486344537815126 0.6486344537815126
 225 3109 70.20689655172414 1.1224057838724109 0.4482758620689655 86.69724770642202 0.6196623634558094 0.6196623634558094
 226 3174 68.23333333333333 1.1239666167176894 0.43333333333333335 86.30136986301369 0.6171419313026572 0.6171419313026572
 227 3215 66.03225806451613 1.119967693597764 0.4193548387096774 85.9090909090909 0.620402942117045 0.620402942117045
 221 3222 73.5 1.146003859422834 0.46875 85.52036199095024 0.6700701978302489 0.6700701978302489
 228 0 0 0 15 190 0 0
 231 3620 71.27272727272728 1.1415795000463844 0.4545454545454546 85.20179372197309 0.5968289920724802 0.5968289920724802
 230 3622 69.17647058823529 1.1374153971038437 0.4411764705882353 84.82142857142857 0.5991794001131862 0.5991794001131862
 229 3626 67.65714285714286 1.1413710162998913 0.45714285714285713 84.44444444444444 0.6066986998304127 0.6066986998304127
 233 3667 65.77777777777777 1.1374440436248945 0.4444444444444444 84.070796460177 0.6019837943559654 0.6019837943559654
 232 3684 64.43243243243244 1.1577533637671646 0.4594594594594595 83.70044052863437 0.6016407119021134 0.6016407119021134
 235 3704 62.73684210526316 1.1536019594575022 0.4473684210526315 83.33333333333333 0.6005254424778761 0.6005254424778761
 234 3721 61.53846153846153 1.171255890321615 0.4615384615384615 82.96943231441047 0.6003303055326177 0.6003303055326177
 239 0 0 0 18 191 0 0
 238 3742 60.0 1.1669744930635746 0.45 82.68398268398268 0.599480021893815 0.599480021893815
 240 0 0 0 18 192 0 0
 241 0 0 0 18 193 0 0
 242 0 0 0 18 194 0 0
 243 0 0 0 18 195 0 0
 237 3801 59.07317073170732 1.171698425859705 0.4634146341463415 82.62711864406779 0.5981685968219769 0.5981685968219769
 244 0 0 0 19 196 0 0
 245 0 0 0 19 197 0 0
 246 0 0 0 19 198 0 0
 247 0 0 0 19 199 0 0
 248 0 0 0 19 200 0 0
 249 0 0 0 19 201 0 0
 67 4753 84.07142857142857 1.1828644188837873 0.5476190476190476 82.71604938271606 0.6616291532690246 0.6616291532690246
 1 4815 137.88372093023256 1.2017517753490008 0.6976744186046512 82.37704918032787 0.8925748752079867 0.8925748752079867
 250 4901 134.75 1.1971665077274327 0.6818181818181819 82.04081632653062 0.8793420514916224 0.8793420514916224
 251 4981 131.75555555555556 1.1927850297779343 0.6666666666666667 81.70731707317074 0.8704262163248895 0.8704262163248895
 253 5061 128.8913043478261 1.1690288334784138 0.6521739130434783 81.37651821862349 0.8567471309853582 0.8567471309853582
 254 5089 126.14893617021276 1.150538858298022 0.6382978723404256 81.04838709677419 0.8523219205037387 0.8523219205037387
 257 0 0 0 30 202 0 0
 258 0 0 0 30 203 0 0
 259 0 0 0 30 204 0 0
 260 0 0 0 30 205 0 0
 261 0 0 0 30 206 0 0
 262 0 0 0 30 207 0 0
 263 0 0 0 30 208 0 0
 264 0 0 0 30 209 0 0
 265 0 0 0 30 210 0 0
 266 0 0 0 30 211 0 0
 267 0 0 0 30 212 0 0
 268 0 0 0 30 213 0 0
 269 0 0 0 30 214 0 0
 270 0 0 0 30 215 0 0
 271 0 0 0 30 216 0 0
 272 0 0 0 30 217 0 0
 273 0 0 0 30 218 0 0
 274 0 0 0 30 219 0 0
 275 0 0 0 30 220 0 0
 276 0 0 0 30 221 0 0
 277 0 0 0 30 222 0 0
 278 0 0 0 30 223 0 0
 279 0 0 0 30 224 0 0
 280 0 0 0 30 225 0 0
 281 0 0 0 30 226 0 0
 282 0 0 0 30 227 0 0
 283 0 0 0 30 228 0 0
 284 0 0 0 30 229 0 0
 285 0 0 0 30 230 0 0
 286 0 0 0 30 231 0 0
 287 0 0 0 30 232 0 0
 288 0 0 0 30 233 0 0
 289 0 0 0 30 234 0 0
 290 0 0 0 30 235 0 0
 291 0 0 0 30 236 0 0
 292 0 0 0 30 237 0 0
 293 0 0 0 30 238 0 0
 294 0 0 0 30 239 0 0
 295 0 0 0 30 240 0 0
 296 0 0 0 30 241 0 0
 297 0 0 0 30 242 0 0
 298 0 0 0 30 243 0 0
 299 0 0 0 30 244 0 0
 300 0 0 0 30 245 0 0
 301 0 0 0 30 246 0 0
 302 0 0 0 30 247 0 0
 303 0 0 0 30 248 0 0
 304 0 0 0 30 249 0 0
 305 0 0 0 30 250 0 0
 306 0 0 0 30 251 0 0
 307 0 0 0 30 252 0 0
 308 0 0 0 30 253 0 0
 309 0 0 0 30 254 0 0
 310 0 0 0 30 255 0 0
 311 0 0 0 30 256 0 0
 312 0 0 0 30 257 0 0
 313 0 0 0 30 258 0 0
 314 0 0 0 30 259 0 0
 315 0 0 0 30 260 0 0
 316 0 0 0 30 261 0 0
 317 0 0 0 30 262 0 0
 318 0 0 0 30 263 0 0
 319 0 0 0 30 264 0 0
 320 0 0 0 30 265 0 0
 321 0 0 0 30 266 0 0
 322 0 0 0 30 267 0 0
 323 0 0 0 30 268 0 0
 324 0 0 0 30 269 0 0
 325 0 0 0 30 270 0 0
 326 0 0 0 30 271 0 0
 327 0 0 0 30 272 0 0
 328 0 0 0 30 273 0 0
 329 0 0 0 30 274 0 0
 330 0 0 0 30 275 0 0
 331 0 0 0 30 276 0 0
 332 0 0 0 30 277 0 0
 333 0 0 0 30 278 0 0
 334 0 0 0 30 279 0 0
 335 0 0 0 30 280 0 0
 336 0 0 0 30 281 0 0
 337 0 0 0 30 282 0 0
 338 0 0 0 30 283 0 0
 339 0 0 0 30 284 0 0
 340 0 0 0 30 285 0 0
 341 0 0 0 30 286 0 0
 342 0 0 0 30 287 0 0
 343 0 0 0 30 288 0 0
 344 0 0 0 30 289 0 0
 345 0 0 0 30 290 0 0
 346 0 0 0 30 291 0 0
 347 0 0 0 30 292 0 0
 348 0 0 0 30 293 0 0
 349 0 0 0 30 294 0 0
 350 0 0 0 30 295 0 0
 351 0 0 0 30 296 0 0
 352 0 0 0 30 297 0 0
 353 0 0 0 30 298 0 0
 354 0 0 0 30 299 0 0
 355 0 0 0 30 300 0 0
 356 0 0 0 30 301 0 0
 357 0 0 0 30 302 0 0
 358 0 0 0 30 303 0 0
 359 0 0 0 30 304 0 0
 360 0 0 0 30 305 0 0
 361 0 0 0 30 306 0 0
 362 0 0 0 30 307 0 0
 363 0 0 0 30 308 0 0
 364 0 0 0 30 309 0 0
 365 0 0 0 30 310 0 0
 366 0 0 0 30 311 0 0
 367 0 0 0 30 312 0 0
 368 0 0 0 30 313 0 0
 369 0 0 0 30 314 0 0
 370 0 0 0 30 315 0 0
 371 0 0 0 30 316 0 0
 372 0 0 0 30 317 0 0
 373 0 0 0 30 318 0 0
 374 0 0 0 30 319 0 0
 375 0 0 0 30 320 0 0
 376 0 0 0 30 321 0 0
 377 0 0 0 30 322 0 0
 255 5180 123.52083333333333 1.1474026320834798 0.625 87.02702702702703 0.8434177459887879 0.8434177459887879
 379 5246 120.99999999999999 1.1382719661225926 0.6122448979591836 86.79245283018868 0.8334605840809315 0.8334605840809315
 256 5254 119.84 1.152533553827168 0.6 86.55913978494625 0.839241471316943 0.839241471316943
 380 5269 117.49019607843137 1.1436603468893802 0.5882352941176471 86.32707774798928 0.8375142531356898 0.8375142531356898
 381 0 0 0 30 323 0 0
 382 0 0 0 30 324 0 0
 383 5331 115.23076923076924 1.1332053402184308 0.576923076923077 86.17021276595744 0.8283245679939895 0.8283245679939895
 378 5401 115.58490566037736 1.1495599564407244 0.6037735849056604 85.94164456233422 0.8299962921764924 0.8299962921764924
 385 0 0 0 32 325 0 0
 386 5726 113.44444444444444 1.1301236609510814 0.5925925925925926 85.75197889182058 0.7829165938101067 0.7829165938101067
 387 5764 111.38181818181818 1.1150305034792436 0.5818181818181818 85.52631578947368 0.778009379885357 0.778009379885357
 252 5938 114.55357142857142 1.120772028260662 0.6428571428571428 85.30183727034121 0.8109930871691114 0.8109930871691114
 384 6273 117.17543859649122 1.1324788295454318 0.631578947368421 85.07853403141362 0.7943664219597829 0.7943664219597829
 390 0 0 0 36 326 0 0
 391 0 0 0 36 327 0 0
 392 0 0 0 36 328 0 0
 388 6664 115.1551724137931 1.1301947117946485 0.6206896551724138 84.97409326424871 0.7533423464022833 0.7533423464022833
 393 0 0 0 36 329 0 0
 394 0 0 0 36 330 0 0
 396 0 0 0 36 331 0 0
 389 6790 114.45762711864407 1.1379422859557828 0.6101694915254238 84.87179487179488 0.7486362966239127 0.7486362966239127
 397 0 0 0 36 332 0 0
 398 0 0 0 36 333 0 0
 399 0 0 0 36 334 0 0
 400 0 0 0 36 335 0 0
 401 0 0 0 36 336 0 0
 220 7177 152.76666666666665 1.1523030103530676 0.6333333333333333 84.84848484848484 0.8765690376569037 0.8765690376569037
 402 7250 150.65573770491804 1.1551958646634712 0.6229508196721312 84.63476070528966 0.8727737125500483 0.8727737125500483
 403 7331 148.25806451612902 1.1530909532660716 0.6129032258064516 84.42211055276381 0.8686510103768432 0.8686510103768432
 404 0 0 0 38 337 0 0
 405 0 0 0 38 338 0 0
 406 0 0 0 38 339 0 0
 407 0 0 0 38 340 0 0
 408 0 0 0 38 341 0 0
 409 0 0 0 38 342 0 0
 395 7939 155.26984126984127 1.16606402919585 0.6031746031746031 84.44444444444444 0.840393343419062 0.840393343419062
 410 8007 153.84375 1.178175161092606 0.59375 84.23645320197043 0.8375 0.8375
 412 8029 151.47692307692307 1.1662032355373353 0.5846153846153846 84.02948402948402 0.8354525056095736 0.8354525056095736
 411 8067 149.43939393939394 1.1682845717954276 0.5909090909090909 83.82352941176471 0.8349875930521092 0.8349875930521092
 414 8198 147.2089552238806 1.1612952498283315 0.582089552238806 83.61858190709046 0.8220607984373093 0.8220607984373093
 413 8216 145.14705882352942 1.1613172417084212 0.5882352941176471 83.41463414634146 0.8228773297600195 0.8228773297600195
 415 8242 143.04347826086956 1.1546314845822123 0.5797101449275363 83.21167883211679 0.8207043108682452 0.8207043108682452
 416 8266 141.0 1.149565320516752 0.5714285714285714 83.00970873786407 0.8188037292650442 0.8188037292650442
 417 8293 139.01408450704227 1.1404165131855302 0.5633802816901409 82.8087167070218 0.8164373642288197 0.8164373642288197
 418 8378 137.08333333333331 1.1315218393912867 0.5555555555555556 82.6086956521739 0.8084458248715805 0.8084458248715805
 420 8420 135.2054794520548 1.1228708552900362 0.547945205479452 82.40963855421688 0.804707001069773 0.804707001069773
 421 8481 133.3783783783784 1.1144536815699007 0.5405405405405406 82.21153846153847 0.7992093462355441 0.7992093462355441
 422 8697 131.6 1.104927632482302 0.5333333333333333 82.01438848920863 0.7795742232451093 0.7795742232451093
 419 8784 130.05263157894737 1.1040516921125816 0.5657894736842105 81.81818181818181 0.7926398541642931 0.7926398541642931
 423 8886 128.36363636363637 1.0949081636435871 0.5584415584415585 81.62291169451075 0.78375943236851 0.78375943236851
 424 8964 126.71794871794872 1.0936913923148233 0.5512820512820512 81.42857142857144 0.7804510438762978 0.7804510438762978
 425 9020 125.1139240506329 1.0925054253234963 0.5443037974683544 81.23515439429929 0.7763230888716298 0.7763230888716298
 426 9105 123.55000000000001 1.0913491075069526 0.5375 81.04265402843602 0.7717630248406243 0.7717630248406243
 427 0 0 0 43 343 0 0
 428 0 0 0 43 344 0 0
